Année;Mois;Jour;Fascia_oraria_15m;Transiti
2024;janvier;1;00:00:00;6
2024;janvier;1;00:15:00;5
2024;janvier;1;00:30:00;5
2024;janvier;1;00:45:00;19
2024;janvier;1;01:00:00;10
2024;janvier;1;01:15:00;10
2024;janvier;1;01:30:00;8
2024;janvier;1;01:45:00;8
2024;janvier;1;02:00:00;11
2024;janvier;1;02:15:00;6
2024;janvier;1;02:30:00;1
2024;janvier;1;02:45:00;6
2024;janvier;1;03:00:00;9
2024;janvier;1;03:15:00;6
2024;janvier;1;03:30:00;3
2024;janvier;1;03:45:00;5
2024;janvier;1;04:00:00;2
2024;janvier;1;04:15:00;4
2024;janvier;1;04:30:00;4
2024;janvier;1;04:45:00;6
2024;janvier;1;05:00:00;7
2024;janvier;1;05:15:00;8
2024;janvier;1;05:30:00;7
2024;janvier;1;05:45:00;7
2024;janvier;1;06:00:00;8
2024;janvier;1;06:15:00;6
2024;janvier;1;06:30:00;5
2024;janvier;1;06:45:00;6
2024;janvier;1;07:00:00;5
2024;janvier;1;07:15:00;8
2024;janvier;1;07:30:00;16
2024;janvier;1;07:45:00;15
2024;janvier;1;08:00:00;24
2024;janvier;1;08:15:00;21
2024;janvier;1;08:30:00;22
2024;janvier;1;08:45:00;31
2024;janvier;1;09:00:00;41
2024;janvier;1;09:15:00;51
2024;janvier;1;09:30:00;45
2024;janvier;1;09:45:00;50
2024;janvier;1;10:00:00;61
2024;janvier;1;10:15:00;48
2024;janvier;1;10:30:00;79
2024;janvier;1;10:45:00;89
2024;janvier;1;11:00:00;84
2024;janvier;1;11:15:00;95
2024;janvier;1;11:30:00;114
2024;janvier;1;11:45:00;103
2024;janvier;1;12:00:00;100
2024;janvier;1;12:15:00;121
2024;janvier;1;12:30:00;129
2024;janvier;1;12:45:00;87
2024;janvier;1;13:00:00;103
2024;janvier;1;13:15:00;97
2024;janvier;1;13:30:00;106
2024;janvier;1;13:45:00;98
2024;janvier;1;14:00:00;87
2024;janvier;1;14:15:00;103
2024;janvier;1;14:30:00;121
2024;janvier;1;14:45:00;101
2024;janvier;1;15:00:00;116
2024;janvier;1;15:15:00;107
2024;janvier;1;15:30:00;101
2024;janvier;1;15:45:00;114
2024;janvier;1;16:00:00;101
2024;janvier;1;16:15:00;100
2024;janvier;1;16:30:00;132
2024;janvier;1;16:45:00;135
2024;janvier;1;17:00:00;136
2024;janvier;1;17:15:00;134
2024;janvier;1;17:30:00;116
2024;janvier;1;17:45:00;114
2024;janvier;1;18:00:00;97
2024;janvier;1;18:15:00;104
2024;janvier;1;18:30:00;102
2024;janvier;1;18:45:00;78
2024;janvier;1;19:00:00;48
2024;janvier;1;19:15:00;76
2024;janvier;1;19:30:00;53
2024;janvier;1;19:45:00;59
2024;janvier;1;20:00:00;52
2024;janvier;1;20:15:00;36
2024;janvier;1;20:30:00;38
2024;janvier;1;20:45:00;24
2024;janvier;1;21:00:00;44
